Time, X, Y, Z, VX, VY, VZ
     0.000,        6801.839290,           0.000000,           0.000000,           0.000000,           0.000000,           0.000000
    60.000,        6785.995682,         -92.785447,         448.937970,           0.000000,           0.000000,           0.000000
   120.000,        6738.534702,        -184.872654,         895.829069,           0.000000,           0.000000,           0.000000
   180.000,        6659.665703,        -275.567356,        1338.633724,           0.000000,           0.000000,           0.000000
   240.000,        6549.737016,        -364.183221,        1775.326976,           0.000000,           0.000000,           0.000000
   300.000,        6409.235068,        -450.045804,        2203.905793,           0.000000,           0.000000,           0.000000
   360.000,        6238.783117,        -532.496459,        2622.396420,           0.000000,           0.000000,           0.000000
   420.000,        6039.139628,        -610.896229,        3028.861746,           0.000000,           0.000000,           0.000000
   480.000,        5811.196237,        -684.629681,        3421.408694,           0.000000,           0.000000,           0.000000
   540.000,        5555.975315,        -753.108683,        3798.195649,           0.000000,           0.000000,           0.000000
   600.000,        5274.627100,        -815.776110,        4157.439895,           0.000000,           0.000000,           0.000000
   660.000,        4968.426375,        -872.109469,        4497.425087,           0.000000,           0.000000,           0.000000
   720.000,        4638.768669,        -921.624414,        4816.508709,           0.000000,           0.000000,           0.000000
   780.000,        4287.165960,        -963.878152,        5113.129539,           0.000000,           0.000000,           0.000000
   840.000,        3915.241849,        -998.472707,        5385.815079,           0.000000,           0.000000,           0.000000
   900.000,        3524.726191,       -1025.058025,        5633.188926,           0.000000,           0.000000,           0.000000
   960.000,        3117.449139,       -1043.334906,        5853.978067,           0.000000,           0.000000,           0.000000
  1020.000,        2695.334606,       -1053.057725,        6047.020046,           0.000000,           0.000000,           0.000000
  1080.000,        2260.393098,       -1054.036929,        6211.269968,           0.000000,           0.000000,           0.000000
  1140.000,        1814.713924,       -1046.141281,        6345.807289,           0.000000,           0.000000,           0.000000
  1200.000,        1360.456759,       -1029.299815,        6449.842346,           0.000000,           0.000000,           0.000000
  1260.000,         899.842559,       -1003.503484,        6522.722547,           0.000000,           0.000000,           0.000000
  1320.000,         435.143831,        -968.806465,        6563.938180,           0.000000,           0.000000,           0.000000
  1380.000,         -31.325734,        -925.327101,        6573.127749,           0.000000,           0.000000,           0.000000
  1440.000,        -497.222252,        -873.248434,        6550.082782,           0.000000,           0.000000,           0.000000
  1500.000,        -960.183218,        -812.818321,        6494.752012,           0.000000,           0.000000,           0.000000
  1560.000,       -1417.839635,        -744.349101,        6407.244872,           0.000000,           0.000000,           0.000000
  1620.000,       -1867.828641,        -668.216775,        6287.834208,           0.000000,           0.000000,           0.000000
