Time,X,Y,Z,VX,VY,VZ
0,6971302.0,0.0,0.0,0.0,-1052.3670536427012,7487.980670323959
100,6930333.1138326805,-105030.47336781556,747330.6501290364,-818.5742276828505,-1046.182512077955,7443.975370527337
200,6807907.987218553,-208826.4619866059,1485877.4848521138,-1627.52725427908,-1027.7015789114948,7312.4766982333
300,6605465.550447549,-310167.9926148842,2206959.9435046376,-2417.3510601995795,-997.1414682518606,7095.030212133029
400,6325385.233663071,-407863.9366640693,2902102.705791951,-3178.7622767455364,-954.8613762942147,6794.191725957974
500,5970958.980261013,-500766.0186358754,3563135.3670005966,-3902.8116402419582,-901.3582440510527,6413.497158742261
600,5546352.5633092625,-587782.3067995377,4182288.429154578,-4580.989033447308,-837.2609191770697,5957.420994048098
700,5056556.629272657,-667890.047369824,4752284.620937003,-5205.323414235765,-763.322775618463,5431.323766041891
800,4507328.040482882,-740147.6865988165,5266424.439317939,-5768.4765882033025,-680.4128547277662,4841.389025250957
900,3905122.202289534,-803705.9384017885,5718664.899804477,-6263.829483888189,-589.5056464829894,4194.550628159595
1000,3257017.19161374,-857817.7658183235,6103690.558226971,-6685.559932055849,-491.66963709872107,3498.4112492278755
1100,2570630.5644622757,-901847.161253439,6416975.985400874,-7028.711092417716,-388.05475106067854,2761.153026324497
1200,1854029.8206286724,-935276.6218619621,6654838.957250396,-7289.249715289801,-279.8788347126459,1991.4413864505382
1300,1115637.5800359903,-957713.2319443738,6814483.7333037285,-7464.113547873417,-168.4133382990898,1198.323168178994
1400,364132.59476918925,-968893.2806832982,6894033.913595451,-7551.247312472887,-54.96837369540226,391.12030188096776
1500,-391652.248184156,-968685.3623408711,6892554.497717017,-7549.6268656802595,59.12266217579864,-420.6796003524264
1600,-1142833.777825901,-957091.9204577054,6810062.872363318,-7459.271252362316,172.5187990892373,-1227.535039581643
1700,-1880582.9155293554,-934249.2194206396,6647528.609026705,-7281.242481020863,283.8872194397719,-2019.9625257735952
1800,-2596228.473594198,-900425.7421817937,6406862.063175669,-7017.632999146444,391.918956278705,-2788.6482751339186
1900,-3281359.03520449,-856019.0367594396,6090891.935942616,-6671.541199583307,495.3442360784493,-3524.5573795501346
2000,-3927921.8681828147,-801551.0409546426,5703332.007754213,-6247.034907320166,592.9474425549632,-4219.040279720736
2100,-4528317.54720473,-737661.9485741741,5248737.494239619,-5749.103583028165,683.5813917071187,-4863.934337338095
2200,-5075489.272653212,-665102.6852483369,4732451.508892453,-5183.599694740765,766.1808114377303,-5451.6597475757935
2300,-5563005.816148422,-584726.0822931497,4160542.2618370173,-4557.169929729846,839.7748631970927,-5975.308635211938
