Time, X, Y, Z, VX, VY, VZ
     0.000,        6871.302000,           0.000000,           0.000000,           0.000000,           0.000000,           0.000000
   100.000,        6828.180864,        -155.578326,         752.683627,           0.000000,           0.000000,           0.000000
   200.000,        6699.367443,        -308.001563,        1496.129032,           0.000000,           0.000000,           0.000000
   300.000,        6486.504571,        -454.169170,        2221.211378,           0.000000,           0.000000,           0.000000
   400.000,        6192.306674,        -591.088829,        2919.031213,           0.000000,           0.000000,           0.000000
   500.000,        5820.524633,        -715.928387,        3581.023697,           0.000000,           0.000000,           0.000000
   600.000,        5375.897252,        -826.065229,        4199.063723,           0.000000,           0.000000,           0.000000
   700.000,        4864.089953,        -919.132291,        4765.565647,           0.000000,           0.000000,           0.000000
   800.000,        4291.621511,        -993.059964,        5273.576385,           0.000000,           0.000000,           0.000000
   900.000,        3665.779773,       -1046.113223,        5716.860760,           0.000000,           0.000000,           0.000000
  1000.000,        2994.527490,       -1076.923355,        6089.978027,           0.000000,           0.000000,           0.000000
  1100.000,        2286.399470,       -1084.513783,        6388.348651,           0.000000,           0.000000,           0.000000
  1200.000,        1550.392416,       -1068.319537,        6608.310518,           0.000000,           0.000000,           0.000000
  1300.000,         795.848881,       -1028.200053,        6747.163877,           0.000000,           0.000000,           0.000000
  1400.000,          32.336863,        -964.445053,        6803.204483,           0.000000,           0.000000,           0.000000
  1500.000,        -730.473392,        -877.773394,        6775.744510,           0.000000,           0.000000,           0.000000
  1600.000,       -1482.933768,        -769.324870,        6665.120993,           0.000000,           0.000000,           0.000000
  1700.000,       -2215.542217,        -640.645055,        6472.691694,           0.000000,           0.000000,           0.000000
  1800.000,       -2919.064638,        -493.663395,        6200.818435,           0.000000,           0.000000,           0.000000
  1900.000,       -3584.653120,        -330.664857,        5852.838110,           0.000000,           0.000000,           0.000000
  2000.000,       -4203.959002,        -154.255553,        5433.021729,           0.000000,           0.000000,           0.000000
  2100.000,       -4769.239299,          32.677174,        4946.521999,           0.000000,           0.000000,           0.000000
  2200.000,       -5273.455098,         227.009578,        4399.310077,           0.000000,           0.000000,           0.000000
  2300.000,       -5710.360671,         425.430612,        3798.102286,           0.000000,           0.000000,           0.000000
  2400.000,       -6074.582151,         624.494527,        3150.277678,           0.000000,           0.000000,           0.000000
  2500.000,       -6361.684768,         820.676190,        2463.787465,           0.000000,           0.000000,           0.000000
  2600.000,       -6568.227784,        1010.428264,        1747.057432,           0.000000,           0.000000,           0.000000
  2700.000,       -6691.806443,        1190.239359,        1008.884518,           0.000000,           0.000000,           0.000000
  2800.000,       -6731.080410,        1356.692261,         258.328844,           0.000000,           0.000000,           0.000000
  2900.000,       -6685.788360,        1506.521328,        -495.397483,           0.000000,           0.000000,           0.000000
  3000.000,       -6556.748553,        1636.668133,       -1243.043445,           0.000000,           0.000000,           0.000000
  3100.000,       -6345.845428,        1744.334496,       -1975.432647,           0.000000,           0.000000,           0.000000
  3200.000,       -6056.002414,        1827.032025,       -2683.575956,           0.000000,           0.000000,           0.000000
  3300.000,       -5691.141358,        1882.627386,       -3358.781824,           0.000000,           0.000000,           0.000000
  3400.000,       -5256.129121,        1909.382548,       -3992.762968,           0.000000,           0.000000,           0.000000
  3500.000,       -4756.712088,        1905.989326,       -4577.738085,           0.000000,           0.000000,           0.000000
  3600.000,       -4199.439464,        1871.597634,       -5106.527358,           0.000000,           0.000000,           0.000000
  3700.000,       -3591.576399,        1805.836955,       -5572.640581,           0.000000,           0.000000,           0.000000
  3800.000,       -2941.008105,        1708.830607,       -5970.356811,           0.000000,           0.000000,           0.000000
  3900.000,       -2256.136242,        1581.202525,       -6294.794596,           0.000000,           0.000000,           0.000000
  4000.000,       -1545.768942,        1424.076365,       -6541.971879,           0.000000,           0.000000,           0.000000
  4100.000,        -819.005946,        1239.066864,       -6708.854876,           0.000000,           0.000000,           0.000000
  4200.000,         -85.120353,        1028.263498,       -6793.395313,           0.000000,           0.000000,           0.000000
  4300.000,         646.561457,         794.206596,       -6794.555566,           0.000000,           0.000000,           0.000000
  4400.000,        1366.780145,         539.856198,       -6712.321394,           0.000000,           0.000000,           0.000000
  4500.000,        2066.462415,         268.554033,       -6547.702115,           0.000000,           0.000000,           0.000000
  4600.000,        2736.837142,         -16.020877,       -6302.718220,           0.000000,           0.000000,           0.000000
  4700.000,        3369.547114,        -309.902403,       -5980.376570,           0.000000,           0.000000,           0.000000
  4800.000,        3956.754949,        -608.892587,       -5584.633494,           0.000000,           0.000000,           0.000000
  4900.000,        4491.241821,        -908.621244,       -5120.346230,           0.000000,           0.000000,           0.000000
  5000.000,        4966.497734,       -1204.609052,       -4593.213305,           0.000000,           0.000000,           0.000000
  5100.000,        5376.802190,       -1492.333214,       -4009.704599,           0.000000,           0.000000,           0.000000
  5200.000,        5717.294242,       -1767.294764,       -3376.981928,           0.000000,           0.000000,           0.000000
  5300.000,        5984.031058,       -2025.086505,       -2702.811151,           0.000000,           0.000000,           0.000000
  5400.000,        6174.034273,       -2261.460598,       -1995.466845,           0.000000,           0.000000,           0.000000
  5500.000,        6285.323581,       -2472.394787,       -1263.630752,           0.000000,           0.000000,           0.000000
  5600.000,        6316.937177,       -2654.156260,        -516.285218,           0.000000,           0.000000,           0.000000
  5700.000,        6268.938854,       -2803.362170,         237.397053,           0.000000,           0.000000,           0.000000
  5800.000,        6142.411705,       -2917.035893,         988.165581,           0.000000,           0.000000,           0.000000
  5900.000,        5939.438591,       -2992.658125,        1726.805647,           0.000000,           0.000000,           0.000000
  6000.000,        5663.069687,       -3028.212013,        2444.251397,           0.000000,           0.000000,           0.000000
  6100.000,        5317.277599,       -3022.221590,        3131.697107,           0.000000,           0.000000,           0.000000
  6200.000,        4906.900698,       -2973.782845,        3780.705265,           0.000000,           0.000000,           0.000000
  6300.000,        4437.575485,       -2882.586908,        4383.310132,           0.000000,           0.000000,           0.000000
  6400.000,        3915.658912,       -2748.934898,        4932.115508,           0.000000,           0.000000,           0.000000
  6500.000,        3348.141763,       -2573.744119,        5420.385514,           0.000000,           0.000000,           0.000000
  6600.000,        2742.554245,       -2358.545405,        5842.127263,           0.000000,           0.000000,           0.000000
  6700.000,        2106.865102,       -2105.471544,        6192.164419,           0.000000,           0.000000,           0.000000
  6800.000,        1449.375600,       -1817.236835,        6466.200726,           0.000000,           0.000000,           0.000000
  6900.000,         778.609810,       -1497.107967,        6660.872741,           0.000000,           0.000000,           0.000000
  7000.000,         103.202652,       -1148.866532,        6773.791116,           0.000000,           0.000000,           0.000000
  7100.000,        -568.212809,        -776.763604,        6803.569922,           0.000000,           0.000000,           0.000000
  7200.000,       -1227.117325,        -385.466942,        6749.843663,           0.000000,           0.000000,           0.000000
  7300.000,       -1865.215229,          19.998510,        6613.271761,           0.000000,           0.000000,           0.000000
  7400.000,       -2474.540538,         434.316072,        6395.530459,           0.000000,           0.000000,           0.000000
  7500.000,       -3047.558052,         851.947843,        6099.292251,           0.000000,           0.000000,           0.000000
  7600.000,       -3577.258119,        1267.209357,        5728.193081,           0.000000,           0.000000,           0.000000
  7700.000,       -4057.243869,        1674.347349,        5286.787712,           0.000000,           0.000000,           0.000000
  7800.000,       -4481.809814,        2067.619578,        4780.493829,           0.000000,           0.000000,           0.000000
  7900.000,       -4846.010820,        2441.375588,        4215.525536,           0.000000,           0.000000,           0.000000
  8000.000,       -5145.720618,        2790.137277,        3598.817092,           0.000000,           0.000000,           0.000000
  8100.000,       -5377.679139,        3108.678133,        2937.937801,           0.000000,           0.000000,           0.000000
