Time, X, Y, Z, VX, VY, VZ
     0.000,        6871.302000,           0.000000,           0.000000,           0.000000,          -1.059997,           7.542271
   100.000,        6829.133806,        -105.782785,         752.683627,          -0.842500,          -1.053492,           7.495985
   200.000,        6703.146783,        -210.267223,        1496.129032,          -1.674660,          -1.034057,           7.357696
   300.000,        6494.887260,        -312.170901,        2221.211378,          -2.486265,          -1.001930,           7.129100
   400.000,        6206.911355,        -410.243083,        2919.031213,          -3.267355,          -0.957505,           6.813004
   500.000,        5842.753601,        -503.280059,        3581.023697,          -4.008342,          -0.901329,           6.413287
   600.000,        5406.883566,        -590.139921,        4199.063723,          -4.700132,          -0.834090,           5.934855
   700.000,        4904.650994,        -669.756574,        4765.565647,          -5.334233,          -0.756613,           5.383581
   800.000,        4342.220143,        -741.152827,        5273.576385,          -5.902864,          -0.669850,           4.766229
   900.000,        3726.494129,        -803.452383,        5716.860760,          -6.399045,          -0.574865,           4.090379
  1000.000,        3065.030194,        -855.890595,        6089.978027,          -6.816686,          -0.472825,           3.364324
  1100.000,        2365.946959,        -897.823852,        6388.348651,          -7.150661,          -0.364981,           2.596977
  1200.000,        1637.824770,        -928.737476,        6608.310518,          -7.396870,          -0.252658,           1.797755
  1300.000,         889.600390,        -948.252043,        6747.163877,          -7.552293,          -0.137234,           0.976468
  1400.000,         130.457309,        -956.128037,        6803.204483,          -7.615021,          -0.020125,           0.143196
  1500.000,        -630.286967,        -952.268789,        6775.744510,          -7.584284,           0.097231,          -0.691833
  1600.000,       -1383.295281,        -936.721668,        6665.120993,          -7.460460,           0.213393,          -1.518371
  1700.000,       -2119.325426,        -909.677494,        6472.691694,          -7.245068,           0.326936,          -2.326273
  1800.000,       -2829.343579,        -871.468199,        6200.818435,          -6.940753,           0.436467,          -3.105623
  1900.000,       -3504.635181,        -822.562753,        5852.838110,          -6.551248,           0.540640,          -3.846856
  2000.000,       -4136.911897,        -763.561409,        5433.021729,          -6.081336,           0.638178,          -4.540873
  2100.000,       -4718.413343,        -695.188331,        4946.521999,          -5.536783,           0.727883,          -5.179157
  2200.000,       -5242.002338,        -618.282710,        4399.310077,          -4.924273,           0.808654,          -5.753874
  2300.000,       -5701.252500,        -533.788466,        3798.102286,          -4.251324,           0.879500,          -6.257969
  2400.000,       -6090.527126,        -442.742654,        3150.277678,          -3.526196,           0.939551,          -6.685255
  2500.000,       -6405.048369,        -346.262747,        2463.787465,          -2.757787,           0.988071,          -7.030489
  2600.000,       -6640.955887,        -245.532910,        1747.057432,          -1.955531,           1.024463,          -7.289432
  2700.000,       -6795.354218,        -141.789472,        1008.884518,          -1.129273,           1.048281,          -7.458907
  2800.000,       -6866.348322,         -36.305751,         258.328844,          -0.289155,           1.059233,          -7.536834
  2900.000,       -6853.066837,          69.623576,        -495.397483,           0.554513,           1.057184,          -7.522255
  3000.000,       -6755.672776,         174.698363,       -1243.043445,           1.391374,           1.042160,          -7.415351
  3100.000,       -6575.361526,         277.628953,       -1975.432647,           2.211158,           1.014344,          -7.217433
  3200.000,       -6314.346176,         377.152005,       -2683.575956,           3.003803,           0.974079,          -6.930930
  3300.000,       -5975.830353,         472.046001,       -3358.781824,           3.759580,           0.921858,          -6.559359
  3400.000,       -5563.968903,         561.146240,       -3992.762968,           4.469213,           0.858322,          -6.107280
  3500.000,       -5083.816896,         643.359132,       -4577.738085,           5.123993,           0.784252,          -5.580242
  3600.000,       -4541.267579,         717.675617,       -5106.527358,           5.715882,           0.700556,          -4.984713
  3700.000,       -3942.980047,         783.183559,       -5572.640581,           6.237615,           0.608261,          -4.328004
  3800.000,       -3296.297509,         839.078930,       -5970.356811,           6.682790,           0.508501,          -3.618175
  3900.000,       -2609.157162,         884.675687,       -6294.794596,           7.045943,           0.402500,          -2.863936
  4000.000,       -1889.992769,         919.414188,       -6541.971879,           7.322615,           0.291559,          -2.074547
  4100.000,       -1147.631146,         942.868064,       -6708.854876,           7.509412,           0.177039,          -1.259695
  4200.000,        -391.183829,         954.749448,       -6793.395313,           7.604041,           0.060346,          -0.429382
  4300.000,         370.064767,         954.912511,       -6794.555566,           7.605340,          -0.057088,           0.406201
  4400.000,        1126.771294,         943.355251,       -6712.321394,           7.513293,          -0.173821,           1.236798
  4500.000,        1869.648153,         920.219521,       -6547.702115,           7.329030,          -0.288420,           2.052216
  4600.000,        2589.577488,         885.789280,       -6302.718220,           7.054812,          -0.399480,           2.842445
  4700.000,        3277.723091,         840.487115,       -5980.376570,           6.694006,          -0.505636,           3.597786
  4800.000,        3925.638862,         784.869053,       -5584.633494,           6.251039,          -0.605586,           4.308970
  4900.000,        4525.372469,         719.617733,       -5120.346230,           5.731349,          -0.698104,           4.967266
  5000.000,        5069.562952,         645.534032,       -4593.213305,           5.141315,          -0.782053,           5.564596
  5100.000,        5551.531074,         563.527231,       -4009.704599,           4.488177,          -0.856403,           6.093627
  5200.000,        5965.361297,         474.603859,       -3376.981928,           3.779952,          -0.920243,           6.547867
  5300.000,        6305.974388,         379.855335,       -2702.811151,           3.025334,          -0.972787,           6.921740
  5400.000,        6569.189759,         280.444576,       -1995.466845,           2.233583,          -1.013392,           7.210658
  5500.000,        6751.776779,         177.591721,       -1263.630752,           1.414418,          -1.041559,           7.411075
  5600.000,        6851.494430,          72.559155,        -516.285218,           0.577893,          -1.056941,           7.520529
  5700.000,        6867.118803,         -33.363980,         237.397053,          -0.265725,          -1.059352,           7.537680
  5800.000,        6798.458132,        -138.877616,         988.165581,          -1.106082,          -1.048760,           7.462314
  5900.000,        6646.355136,        -242.686707,        1726.805647,          -1.932863,          -1.025296,           7.295359
  6000.000,        6412.676685,        -343.517132,        2444.251397,          -2.735920,          -0.989248,           7.038862
  6100.000,        6100.290880,        -440.131325,        3131.697107,          -3.505398,          -0.941058,           6.695972
  6200.000,        5713.031856,        -531.343474,        3780.705265,          -4.231851,          -0.881317,           6.270898
  6300.000,        5255.652718,        -616.034065,        4383.310132,          -4.906364,          -0.810760,           5.768857
  6400.000,        4733.767207,        -693.163630,        4932.115508,          -5.520657,          -0.730252,           5.196010
  6500.000,        4153.780796,        -761.785504,        5420.385514,          -6.067192,          -0.640780,           4.559389
  6600.000,        3522.812072,        -821.057442,        5842.127263,          -6.539259,          -0.543444,           3.866808
  6700.000,        2848.605363,        -870.251956,        6192.164419,          -6.931066,          -0.439438,           3.126766
  6800.000,        2139.435689,        -908.765247,        6466.200726,          -7.237803,          -0.330039,           2.348347
  6900.000,        1404.007196,        -936.124615,        6660.872741,          -7.455705,          -0.216588,           1.541106
  7000.000,         651.346321,        -951.994257,        6773.791116,          -7.582097,          -0.100480,           0.714949
